Huntsville,,,,,,,UNCC,,,,,,,,,,,Huntsville (different cup),,,,,
t (s),Moisture (0-0.5),temp (C),ec (uScm),pH,n (mgkg),,t (s),Moisture (0-0.5),temp (C),ec (uScm),pH,n (mgkg),,IMPORTANT NOTE:,,,,t (s),Moisture (0-0.5),temp (C),ec (uScm),pH,n (mgkg)
1,0.449,22.9,64,6.3,15,,1,0.391,23.6,57,5.5,38,,(raw - 200.0f) / 1800.0f;,,,two prongs,1,0.443,25.3,135,6.1,0
2,0.361,24.5,66,6.3,15,,2,0.423,22.2,56,5.5,38,,output moisture value: 0.000 to 0.500,,,,2,0.43,23,136,6.1,0
3,0.449,23.1,65,6.3,15,,3,0.416,23.8,56,5.5,38,,target moisture : ~0.400,,,,3,0.453,25.6,135,6.1,0
4,0.417,24.2,65,6.3,15,,4,0.43,23,56,5.5,38,,,,,,4,0.439,25.5,134,6.1,0
5,0.453,24.2,65,6.3,15,,5,0.438,23.7,56,5.5,38,,,,,,5,0.438,25.4,134,6.1,0
6,0.404,24.1,64,6.3,15,,6,0.405,23.5,56,5.5,38,,,,,,6,0.421,25.6,134,6.1,0
7,0.453,7.5,65,6.3,15,,7,0.442,23.4,56,5.4,38,,,,,,7,0.453,25.8,135,6.1,0
8,0.419,23.7,64,6.3,15,,8,0.421,23.5,57,5.4,38,,,,,,8,0.435,22.5,135,6.1,0
9,0.443,23.9,63,6.3,15,,9,0.427,21.8,56,5.4,38,,,,,,9,0.417,25.6,135,6.1,0
10,0.426,24.7,64,6.3,15,,10,0.421,20.2,57,5.4,38,,,,,,10,0.438,25.3,135,6.1,0
11,0.453,23.1,64,6.3,15,,11,0.402,23.6,55,5.4,38,,,,,,11,0.453,25.3,135,6.1,0
12,0.392,22,63,6.3,15,,12,0.387,5.3,55,5.4,38,,,,,,12,0.446,24.5,134,6.1,0
13,0.429,24.4,65,6.3,16,,13,0.428,23.6,56,5.4,38,,,,,,13,0.399,25.1,135,6.1,0
14,0.397,25.7,64,6.3,16,,14,0.423,23.5,56,5.4,38,,,,,,14,0.453,25.1,134,6.1,0
15,0.452,23.1,63,6.3,16,,15,0.41,23.9,55,5.4,38,,,,,,15,0.427,25.5,134,6.1,0
16,0.411,24.1,63,6.2,16,,16,0.423,23.8,55,5.4,38,,,,,,16,0.433,25.2,135,6.1,0
17,0.413,9.2,63,6.2,16,,17,0.401,23.7,57,5.4,38,,,,,,17,0.443,25.9,134,6.1,0
18,0.428,24.4,64,6.2,16,,18,0.389,20.7,57,5.4,38,,,,,,18,0.453,25.4,134,6.1,0
19,0.451,24.5,63,6.2,16,,19,0.451,24.1,55,5.4,38,,,,,,19,0.436,25.4,134,6.1,0
20,0.416,24,64,6.2,16,,20,0.416,23.2,56,5.3,38,,,,,,20,0.423,25.3,135,6.1,0
21,0.421,23.9,64,6.2,16,,21,0.446,23.7,57,5.3,38,,,,,,21,0.453,25.9,134,6.1,0
22,0.435,24.5,63,6.2,16,,22,0.423,21.4,55,5.3,38,,,,,,22,0.448,25.6,134,6.1,0
23,0.452,23.8,62,6.2,16,,23,0.444,23.4,56,5.3,38,,,,,,23,0.453,20.1,135,6.1,0
24,0.433,24.6,62,6.2,16,,24,0.402,21.2,56,5.3,38,,,,,,24,0.421,25.2,135,6.1,0
25,0.418,23,63,6.2,16,,25,0.453,23.6,56,5.3,38,,,,,,25,0.453,25.5,134,6.1,0
26,0.427,24.6,62,6.2,16,,26,0.414,18.9,57,5.3,38,,,,,,26,0.426,25.7,135,6.1,0
27,0.451,22.9,63,6.2,16,,27,0.448,23.7,55,5.3,38,,,,,,27,0.423,25.5,134,6.1,0
28,0.453,24.3,63,6.2,16,,28,0.409,9.9,56,5.3,38,,,,,,28,0.433,25.4,135,6.1,0
29,0.397,23.2,62,6.2,16,,29,0.421,23.9,56,5.3,38,,,,,,29,0.453,25.7,134,6.1,0
30,0.453,-2.3,62,6.2,16,,30,0.424,23.3,56,5.3,38,,,,,,30,0.451,25.1,135,6.1,0
31,0.426,25.1,63,6.2,16,,31,0.452,21.8,56,5.3,38,,,,,,31,0.407,25.5,134,6.1,0
32,0.45,26,63,6.2,16,,32,0.424,23.7,55,5.3,38,,,,,,32,0.453,25,134,6.1,0
33,0.418,25,63,6.2,16,,33,0.449,23.6,56,5.2,38,,,,,,33,0.446,25.4,135,6.1,0
34,0.453,25.5,62,6.2,16,,34,0.394,23.3,57,5.2,38,,,,,,34,0.453,25.6,135,6.1,0
35,0.425,24.6,63,6.2,16,,35,0.453,23.8,56,5.2,38,,,,,,35,0.427,25.4,136,6.1,0
36,0.453,24.7,62,6.2,16,,36,0.387,23.2,56,5.2,38,,,,,,36,0.453,25.4,135,6.1,0
37,0.417,24.9,63,6.2,16,,37,0.452,23.9,55,5.2,38,,,,,,37,0.415,25.8,134,6.1,0
38,0.453,19.4,63,6.2,16,,38,0.419,23.7,56,5.2,38,,,,,,38,0.443,25.2,135,6.1,0
39,0.436,25,63,6.2,16,,39,0.434,24,57,5.2,38,,,,,,39,0.428,25.2,134,6.1,0
40,0.45,25.1,62,6.2,16,,40,0.428,23.6,55,5.2,38,,,,,,40,0.453,25.3,135,6.1,0
41,0.415,11.6,63,6.2,16,,41,0.413,23.9,56,5.2,38,,,,,,41,0.426,25.5,135,6.1,0
42,0.436,24.1,63,6.2,16,,42,0.434,21.2,57,5.2,38,,,,,,42,0.429,25.1,135,6.1,0
43,0.432,24.5,63,6.2,16,,43,0.367,23.1,56,5.2,38,,,,,,43,0.422,25.7,135,6.1,0
44,0.453,24.6,62,6.1,16,,44,0.423,23.6,57,5.2,38,,,,,,44,0.453,20.6,134,6.1,0
45,0.4,21.8,64,6.1,16,,45,0.366,24,55,5.2,38,,,,,,45,0.419,25.8,135,6.1,0
46,0.441,24.9,63,6.1,16,,46,0.448,20.2,56,5.2,38,,,,,,46,0.421,25.5,134,6.1,0
47,0.452,24.3,63,6.1,16,,47,0.377,20.2,55,5.2,38,,,,,,47,0.438,25.6,135,6.1,0
48,0.417,24.8,63,6.1,16,,48,0.424,21.9,56,5.2,38,,,,,,48,0.45,25.4,135,6.1,0
49,0.426,15.1,61,6.1,16,,49,0.386,24,57,5.2,38,,,,,,49,0.453,25.5,134,6.1,0
50,0.43,24.7,61,6.1,16,,50,0.439,24.9,56,5.2,38,,,,,,50,0.419,22.3,135,6.1,0
51,0.453,21.9,61,6.1,16,,51,0.363,23.6,56,5.2,38,,,,,,51,0.453,25.3,135,6.1,0
52,0.407,25.2,62,6.1,16,,52,0.451,23.3,57,5.2,38,,,,,,52,0.404,23.4,135,6.1,0
53,0.44,24.7,61,6.1,16,,53,0.343,20.4,57,5.1,38,,,,,,53,0.417,25.5,134,6.1,0
54,0.402,24.4,62,6.1,16,,54,0.452,23.7,56,5.1,38,,,,,,54,0.436,25.9,134,6.1,0
55,0.451,22.5,62,6.1,16,,55,0.346,23.9,55,5.1,38,,,,,,55,0.453,25.5,135,6.1,0
56,0.419,24.4,61,6.1,16,,56,0.453,23.7,56,5.1,38,,,,,,56,0.437,25.4,135,6.1,0
57,0.446,24.9,62,6.1,16,,57,0.355,-47.8,56,5.1,38,,,,,,57,0.429,25.1,134,6.1,0
58,0.35,25.1,61,6.1,16,,58,0.453,4.2,56,5.1,38,,,,,,58,0.447,25.5,135,6.1,0
